"X (Negative Polarity)", "Timestamp", "Current", "Mag. field reading", 
"3:34", "0.998", "54.81, 74.26, 3.79",
"3:25", "0.898", "54.60, 73.04, 3.09",
"3:26", "0.797", "54.81, 74.35, 3.94",
"3:26", "0.698", "54.82, 76.71, 3.46",
"3:27", "0.548", "54.91, 76.72, 3.89",
"3:28", "0.498", "54.59, 76.59, 3.51",
"3:29", "0.395", "54.72, 76.33, 3.38",
"3:30", "0.297", "54.62, 76.33, 3.20",
"3:31", "0.195", "54.83, 76.87, 4.84",
"3:31", "0.097", "54.89, 82.61, 4.37",
"3:32", "0", "53.68, 62.27, 2.04"

"X (Positive Polarity)", "Timestamp", "Current", "Mag. field reading",
"3:35", "0.108", "51.86, -13.11, 13.53",
"3:35", "0.198", "55.23, 11.41, 7.70", 
"3:36", "0.297", "53.36, 52.19, -9.69", 
"3:37", "0.396", "54.03, 66.41, -9.48", 
"3:38", "0.497", "54.81, 65.91, -9.11",
"3:38", "0.598", "54.86, 89.66, 9.21", 
"3:39", "0.698", "54.59, 75.43, 3.14", 
"3:40", "0.795", "55.09, 86.28, 4.76", 
"3:41", "0.898", "55.71, 98.53, 5.67", 
"3:41", "0.998", "56.40, 111.25, 7.10"

"Y (Negative Polarity)", "Timestamp", "Current", "Mag. field reading",
"3:45", "1.027", "148.87, -29.44, -21.58",
"3:46", "0.898", "148.41, -29.36, -21.43", 
"3:47", "0.799", "148.07, -28.80, -20.94", 
"3:48", "0.689", "147.93, -29.31, -21.05",
"3:49", "0.597", "147.11, -29.27, -20.95",
"3:50", "0.497", "151.49, -29.54, -21.74", 
"3:51", "0.398", "151.09, -29.53, -21.76", 
"3:52", "0.298", "151.06, -29.42, -21.79", 
"3:53", "0.198", "150.31, -29.05, -21.87", 
"3:53", "0.096", "150.56, -29.42, -21.76", 
"3:54", "0", "130.57, -28.43, -18.54"

"Y (Positive Polarity)", "Timestamp", "Current", "Mag. field reading", 
"3:54", "0.096", "155.49, -29.62, -21.97", 
"3:54", "1.98", "123.74, -28.29, -19.12", 
"3:55", "0.297", "157.31, -30.83, -21.05", 
"3:55", "0.398", "130.78, -28.05, -20.03", 
"3:56", "0.498", "163.14, -30.59, -23.46", 
"3:57", "0.597", "160.53, -29.94, -20.89",
"3:57", "0.695", "147.14, -29.27, -21.31", 
"3:58", "0.800", "158.17, -29.90, -23.06", 
"3:58", "0.898", "170.18, -30.61, -25.17", 
"3:59", "0.997", "182.67, -31.20, -26.41"

"Z (Negative Polarity)", "Timestamp", "Current", "Mag. field reading",
"1:13", "0.99", "38.17, -11.59, -107.21"
"1:15", "0.897", "38.06, -11.79, -105.95", 
"1:15", "0.796", "37.89, -11.56, -106.49", 
"1:16", "0.697", "38.14, -11.95, -105.84", 
"1:17", "0.595", "37.74, -11.16, -109.19", 
"1:17", "0.496", "37.66, -11.19, -109.24", 
"1:18", "0.395", "37.61, -11.22, -110.29", 
"1:19", "0.294", "37.51, -10.69, -110.07", 
"1:20", "0.195", "37.87, -11.14, -111.26", 
"1:20", "0.095", "37.84, -11.66, -108.08", 
"1:21", "0", "40.83, -13.81, -87.66"

"Z (Positive Polarity)", "Timestamp", "Current", "Mag. field reading", 
"1:23", "0.095", "37.06, -10.61, -113.24", 
"1:24", "0.196", "45.82, -8.93, -82.62", 
"1:25", "0.295", "43.09, -7.84, -90.84", 
"1:25", "0.392", "40.64, -5.04, -112.74", 
"1:25", "0.497", "36.46, -13.24, -118.44", 
"1:26", "0.597", "38.53, -3.03, -110.27", 
"1:27", "0.696", "38.21, -11.57, -104.99", 
"1:28", "0.795", "36.65, -10.57, -116.09", 
"1:28", "0.894", "34.74, -8.92, -128.04", 
"1:29", "0.999", "33.30, -7.34, -140.35"
